Store,Location,Year,Customer Traffic (in millions),Customer Transactions (in millions),Revenue (in million $),Difference in Revenue (%)
Walmart,California,2011,194.24,95.18,5711,0
Kmart,California,2011,86.08,42.18,921,0
Safeway,California,2011,83.83,44.43,1333,0
Costco,California,2011,55.96,34.91,2444,0
Whole Foods,California,2011,13.48,7.82,392,0
Trader Joes,California,2011,14.35,9.9,265,0
Target,California,2011,70.98,36.2,1310,0
Walmart,Texas,2011,123.77,60.06,3904,0
Kmart,Texas,2011,76.29,38.22,831,0
Safeway,Texas,2011,50.8,26.48,821,0
Costco,Texas,2011,44.26,28.77,1982,0
Whole Foods,Texas,2011,10.13,5.88,288,0
Trader Joes,Texas,2011,12.9,8.83,248,0
Target,Texas,2011,51.44,27.94,1397,0
Walmart,Oregon,2011,87.17,43.11,2630,0
Kmart,Oregon,2011,76.11,38.17,825,0
Safeway,Oregon,2011,36.19,19.48,643,0
Costco,Oregon,2011,40.23,25.75,1674,0
Whole Foods,Oregon,2011,8.08,4.69,234,0
Trader Joes,Oregon,2011,7.57,5.22,153,0
Target,Oregon,2011,31.77,16.62,831,0
Walmart,California,2012,205.84,97.23,5826,2.013657853
Kmart,California,2012,78.35,37.61,846,-8.143322476
Safeway,California,2012,88.88,47.3,1501,12.60315079
Costco,California,2012,56.47,35.23,2350,-3.846153846
Whole Foods,California,2012,13.81,8.01,411,4.846938776
Trader Joes,California,2012,14.88,10.32,289,9.056603774
Target,California,2012,71.21,36.51,1384,5.648854962
Walmart,Texas,2012,125.45,61.15,3991,2.228483607
Kmart,Texas,2012,71.97,34.55,797,-4.091456077
Safeway,Texas,2012,52.42,27.91,872,6.211936663
Costco,Texas,2012,44.4,29.31,2103,6.104944501
Whole Foods,Texas,2012,10.31,5.98,302,4.861111111
Trader Joes,Texas,2012,13.53,9.34,275,10.88709677
Target,Texas,2012,52.23,28.37,1466,4.939155333
Walmart,Oregon,2012,90.91,43.93,2712,3.117870722
Kmart,Oregon,2012,72.03,35.12,782,-5.212121212
Safeway,Oregon,2012,40.41,21.52,637,-0.933125972
Costco,Oregon,2012,40.9,26.18,1773,5.913978495
